date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:34:50	16957/16957	---M--	200	added ('OK')	image/jpeg	etag:%22ffcb9e759eb7d330b457aa0c9565cc85-ssl%22	https://scientica24.netlify.app/imgs/Evnt_heads/WEB_2.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/Evnt_heads/WEB_2.jpg	(from https://scientica24.netlify.app/)
11:34:52	31792/31792	---M--	200	added ('OK')	image/jpeg	etag:%22357568398b82a04d51960fcd45b5ae14-ssl%22	https://scientica24.netlify.app/imgs/Evnt_heads/ITM_2.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/Evnt_heads/ITM_2.jpg	(from https://scientica24.netlify.app/)
11:34:53	28516/28516	---M--	200	added ('OK')	image/jpeg	etag:%224b61f7a39ad9a56563c041a6e90e2862-ssl%22	https://scientica24.netlify.app/imgs/Evnt_heads/ITM_1.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/Evnt_heads/ITM_1.jpg	(from https://scientica24.netlify.app/)
11:34:54	8229/8229	---M--	200	added ('OK')	image/png	etag:%2284adfd7add063a3b9c0813d0957d5909-ssl%22	https://scientica24.netlify.app/imgs/head1.png	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/head1.png	(from https://scientica24.netlify.app/)
11:34:55	8314/8314	---M--	200	added ('OK')	image/png	etag:%221ad07d145da93b185065b94669c09db7-ssl%22	https://scientica24.netlify.app/imgs/head2.png	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/head2.png	(from https://scientica24.netlify.app/)
11:34:56	31259/31259	---M--	200	added ('OK')	image/jpeg	etag:%22688157e154db40932a51d68d1f6caf2e-ssl%22	https://scientica24.netlify.app/imgs/Evnt_heads/PV_1.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/Evnt_heads/PV_1.jpg	(from https://scientica24.netlify.app/)
11:34:57	35614/35614	---M--	200	added ('OK')	image/jpeg	etag:%22e8c78215cbe636446d3975f8208a8a3f-ssl%22	https://scientica24.netlify.app/imgs/Evnt_heads/PV_2.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/Evnt_heads/PV_2.jpg	(from https://scientica24.netlify.app/)
11:34:58	42510/42510	---M--	200	added ('OK')	image/jpeg	etag:%22a9cc1a4c463f4eed3be1411308a3be1e-ssl%22	https://scientica24.netlify.app/imgs/Evnt_heads/PHY_1.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/Evnt_heads/PHY_1.jpg	(from https://scientica24.netlify.app/)
11:34:59	38026/38026	---M--	200	added ('OK')	image/jpeg	etag:%223143676c326da91e8fd8197fd980b92a-ssl%22	https://scientica24.netlify.app/imgs/Evnt_heads/PHY_2.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/Evnt_heads/PHY_2.jpg	(from https://scientica24.netlify.app/)
11:35:00	33683/33683	---M--	200	added ('OK')	image/jpeg	etag:%229aa6dc515a74f7ce6c21fbc1194b3b83-ssl%22	https://scientica24.netlify.app/imgs/Evnt_heads/CHEM_1.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/Evnt_heads/CHEM_1.jpg	(from https://scientica24.netlify.app/)
11:35:01	29110/29110	---M--	200	added ('OK')	image/jpeg	etag:%22f93d5359b3a0392a77d0a7f45b4cdd73-ssl%22	https://scientica24.netlify.app/imgs/Evnt_heads/CHEM_2.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/Evnt_heads/CHEM_2.jpg	(from https://scientica24.netlify.app/)
11:35:03	34716/34716	---M--	200	added ('OK')	image/jpeg	etag:%2244cb19083cad8a5ce167b481958d97fc-ssl%22	https://scientica24.netlify.app/imgs/Evnt_heads/MATH_1.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/Evnt_heads/MATH_1.jpg	(from https://scientica24.netlify.app/)
11:35:04	27688/27688	---M--	200	added ('OK')	image/jpeg	etag:%2260ae2ac613d13a3e7f65afe121691572-ssl%22	https://scientica24.netlify.app/imgs/Evnt_heads/MATH_2.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/Evnt_heads/MATH_2.jpg	(from https://scientica24.netlify.app/)
11:35:06	30149/30149	---M--	200	added ('OK')	image/jpeg	etag:%22da73287317167ea74eae57dfbc941976-ssl%22	https://scientica24.netlify.app/imgs/Evnt_heads/VR_1.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/Evnt_heads/VR_1.jpg	(from https://scientica24.netlify.app/)
11:35:09	24731/24731	---M--	200	added ('OK')	image/jpeg	etag:%22ac03c3eb0c30a81951135ebb1beddf62-ssl%22	https://scientica24.netlify.app/imgs/Evnt_heads/VR_2.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/Evnt_heads/VR_2.jpg	(from https://scientica24.netlify.app/)
11:35:10	30734/30734	---M--	200	added ('OK')	image/jpeg	etag:%22e15b30bd23c73ac7b94c1efafddafafa-ssl%22	https://scientica24.netlify.app/imgs/Evnt_heads/DD_1.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/Evnt_heads/DD_1.jpg	(from https://scientica24.netlify.app/)
11:35:11	32717/32717	---M--	200	added ('OK')	image/jpeg	etag:%2281f06564c5fea03318260aaf359d4efe-ssl%22	https://scientica24.netlify.app/imgs/Evnt_heads/DD_2.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/Evnt_heads/DD_2.jpg	(from https://scientica24.netlify.app/)
11:35:13	15436/15436	---MCZ	200	added ('OK')	application/javascript	etag:%22717b47550b54a461e1c5dcc9a0975010-ssl-df%22	https://scientica24.netlify.app/vanilla-tilt.js	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/vanilla-tilt.js	(from https://scientica24.netlify.app/)
11:35:14	2148/2148	---M-Z	200	added ('OK')	application/javascript	etag:%221c7c046d0586b04cc3e2014d36ddec5b-ssl-df%22	https://scientica24.netlify.app/script.js	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/script.js	(from https://scientica24.netlify.app/)
11:35:15	182390/182390	---M--	200	added ('OK')	image/jpeg	etag:%22ed11f329a7cfbd8501c052160358db0f-ssl%22	https://scientica24.netlify.app/imgs/bg3.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/bg3.jpg	(from https://scientica24.netlify.app/style.css)
11:35:16	20401/20401	---M--	200	added ('OK')	image/jpeg	etag:%220639ad7eb041db74921e144a40a01e93-ssl%22	https://scientica24.netlify.app/imgs/bg1.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/bg1.jpg	(from https://scientica24.netlify.app/style.css)
11:35:18	53588/53588	---M--	200	added ('OK')	image/jpeg	etag:%22640a1632bf49721dbc7adb46ad5ef5fd-ssl%22	https://scientica24.netlify.app/imgs/bg2.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/bg2.jpg	(from https://scientica24.netlify.app/style.css)
